#leave the following line; indicates category name
biosyn

#updated on 01-09-2019
PF13183 4Fe-4S dicluster domain
PF18130 ATP-grasp N-terminal domain
PF13535 ATP-grasp domain
PF14518 Iron-containing redox enzyme
PF00708 Acylphosphatase
PF04954 Siderophore-interacting protein
PF08021 Siderophore-interacting FAD-binding domain
PF12697 Alpha/beta hydrolase family
PF13561 Enoyl-(Acyl carrier protein) reductase
PF12710 haloacid dehalogenase-like hydrolase
PF13581 Histidine kinase-like ATPase domain
PF16896 Phosphogluconate dehydrogenase (decarboxylating) C-term

#Removed:
# PF00753	Metallo-beta-lactamase superfamily
# PF00652	Ricin-type beta-trefoil lectin domain
# PF00403	Heavy-metal-associated domain
# PF07993	Male sterility protein
# PF00013	KH domain
# PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
# PF00027	Cyclic nucleotide-binding domain

# updates on 23_01_2019
PF10862	FcoT-like thioesterase domain
PF10881	Protein of unknown function (DUF2726)
PF10904	Protein of unknown function (DUF2694)
PF10907	Protein of unknown function (DUF2749)
PF10908	Protein of unknown function (DUF2778)
PF10921	Protein of unknown function (DUF2710)
PF10929	Protein of unknown function (DUF2811)
PF10935	Protein of unknown function (DUF2637)
PF10938	YfdX protein
PF10944	Protein of unknown function (DUF2630)
PF10945	Cellulose biosynthesis protein BcsR
PF10947	Protein of unknown function (DUF2628)
PF10953	Protein of unknown function (DUF2754)
PF10954	Protein of unknown function (DUF2755)
PF10960	BhlA holin family
PF10966	Protein of unknown function (DUF2768)
PF10969	Protein of unknown function (DUF2771)
PF10970	Spore germination protein GerPE
PF10971	Protein of unknown function (DUF2773)
PF10974	Protein of unknown function (DUF2804)
PF10976	Protein of unknown function (DUF2790)
PF10977	Protein of unknown function (DUF2797)
PF10979	Protein of unknown function (DUF2786)
PF10983	Protein of unknown function (DUF2793)
PF10988	Putative auto-transporter adhesin, head GIN domain
PF10989	Protein of unknown function (DUF2808)
PF10990	Protein of unknown function (DUF2809)
PF10995	GGDEF I-site like or GIL domain
PF10999	Protein of unknown function (DUF2839)
PF11004	3-deoxy-D-manno-oct-2-ulosonic acid (Kdo) hydroxylase
PF11005	Protein of unknown function (DUF2844)
PF11010	Protein of unknown function (DUF2848)
PF11016	Protein of unknown function (DUF2854)
PF11019	Protein of unknown function (DUF2608)
PF11021	Protein of unknown function (DUF2613)
PF11026	Protein of unknown function (DUF2721)
PF11028	Protein of unknown function (DUF2723)
PF11042	Protein of unknown function (DUF2750)
PF11066	Protein of unknown function (DUF2867)
PF11067	Protein of unknown function (DUF2868)
PF11068	YlqD protein
PF11072	Protein of unknown function (DUF2859)
PF11083	Lantibiotic streptin immunity protein
PF11101	Protein of unknown function (DUF2884)
PF11102	Group 4 capsule polysaccharide lipoprotein gfcB, YjbF
PF11106	Exopolysaccharide production protein YjbE
PF11120	Cellulose biosynthesis protein BcsF
PF11127	Protein of unknown function (DUF2892)
PF11136	Protein of unknown function (DUF2889)
PF11138	Protein of unknown function (DUF2911)
PF11139	Sap, sulfolipid-1-addressing protein
PF11140	Protein of unknown function (DUF2913)
PF11142	Protein of unknown function (DUF2917)
PF11143	Protein of unknown function (DUF2919)
PF11144	Protein of unknown function (DUF2920)
PF11148	Protein of unknown function (DUF2922)
PF11149	Protein of unknown function (DUF2924)
PF11151	Protein of unknown function (DUF2929)
PF11154	Protein of unknown function (DUF2934)
PF11158	Protein of unknown function (DUF2938)
PF11160	Protein of unknown function (DUF2945)
PF11165	Protein of unknown function (DUF2949)
PF11167	Protein of unknown function (DUF2953)
PF11170	Protein of unknown function (DUF2957)
PF11174	Protein of unknown function (DUF2970)
PF11177	Protein of unknown function (DUF2964)
PF11178	Protein of unknown function (DUF2963)
PF11180	Protein of unknown function (DUF2968)
PF11182	Alginate O-acetyl transferase AlgF
PF11185	Protein of unknown function (DUF2971)
PF11187	Protein of unknown function (DUF2974)
PF11190	Protein of unknown function (DUF2976)
PF11196	Protein of unknown function (DUF2834)
PF11199	Protein of unknown function (DUF2891)
PF11201	Protein of unknown function (DUF2982)
PF11203	Putative type VII ESX secretion system translocon, EccE
PF11222	Protein of unknown function (DUF3017)
PF11228	Protein of unknown function (DUF3027)
PF11230	Protein of unknown function (DUF3029)
PF11236	Protein of unknown function (DUF3037)
PF11237	Protein of unknown function (DUF3038)
PF11238	Protein of unknown function (DUF3039)
PF11239	Protein of unknown function (DUF3040)
PF11241	Protein of unknown function (DUF3043)
PF11248	Protein of unknown function (DUF3046)
PF11251	Protein of unknown function (DUF3050)
PF11253	Protein of unknown function (DUF3052)
PF11255	Protein of unknown function (DUF3054)
PF11258	Protein of unknown function (DUF3048) N-terminal domain
PF11266	Long-chain fatty aldehyde decarbonylase
PF11268	Protein of unknown function (DUF3071)
PF11271	Protein of unknown function (DUF3068)
PF11278	Protein of unknown function (DUF3079)
PF11284	Protein of unknown function (DUF3085)
PF11285	Protein of unknown function (DUF3086)
PF11288	Protein of unknown function (DUF3089)
PF11292	Protein of unknown function (DUF3093)
PF11296	Protein of unknown function (DUF3097)
PF11297	Protein of unknown function (DUF3098)
PF11298	Protein of unknown function (DUF3099)
PF11300	Protein of unknown function (DUF3102)
PF11304	Protein of unknown function (DUF3106)
PF11306	Protein of unknown function (DUF3108)
PF11314	Protein of unknown function (DUF3117)
PF11316	Putative rhamnosyl transferase
PF11317	Protein of unknown function (DUF3119)
PF11329	Protein of unknown function (DUF3131)
PF11333	Protein of unknown function (DUF3135)
PF11336	Protein of unknown function (DUF3138)
PF11337	Protein of unknown function (DUF3139)
PF11339	Protein of unknown function (DUF3141)
PF11340	Protein of unknown function (DUF3142)
PF11343	Protein of unknown function (DUF3145)
PF11346	Protein of unknown function (DUF3149)
PF11350	Protein of unknown function (DUF3152)
PF11353	Protein of unknown function (DUF3153)
PF11361	Protein of unknown function (DUF3159)
PF11363	Protein of unknown function (DUF3164)
PF11368	Protein of unknown function (DUF3169)
PF11379	Protein of unknown function (DUF3182)
PF11380	Stealth protein CR2, conserved region 2
PF11381	Protein of unknown function (DUF3185)
PF11382	Copper transport outer membrane protein, MctB
PF11384	Protein of unknown function (DUF3188)
PF11387	Protein of unknown function (DUF2795)
PF11391	Protein of unknown function (DUF2798)
PF11392	Protein of unknown function (DUF2877)
PF11396	Putative beta-lactamase-inhibitor-like, PepSY-like
PF11397	Glycosyltransferase (GlcNAc)
PF11421	ATP synthase F1 beta subunit
PF11444	Protein of unknown function (DUF2895)
PF11446	Protein of unknown function (DUF2897)
PF11452	Protein of unknown function (DUF3000)
PF11453	Protein of unknown function (DUF2950)
PF11468	Aromatic prenyltransferase Orf2
PF11501	Non structural protein Nsp1
PF11512	Agrobacterium tumefaciens protein Atu4866
PF11522	Yeast phosphatidylinositol-4-OH kinase Pik1
PF11528	Protein of unknown function (DUF3224)
PF11533	Protein of unknown function (DUF3225)
PF11546	Staphylococcal complement inhibitor SCIN
PF11553	Protein of unknown function (DUF3231)
PF11575	FhuF 2Fe-2S C-terminal domain
PF11578	Protein of unknown function (DUF3237)
PF11583	P-aminobenzoate N-oxygenase AurF
PF11606	Family 31 carbohydrate binding protein
PF11614	IG-like fold at C-terminal of FixG, putative oxidoreductase
PF11616	WD repeat binding protein EZH2
PF11621	C3 binding domain 4 of IgG-bind protein SBI
PF11625	Protein of unknown function (DUF3253)
PF11629	C terminal SARAH domain of Mst1
PF11648	C-terminal domain of RIG-I
PF11658	Cellulose biosynthesis protein BcsG
PF11659	Protein of unknown function (DUF3261)
PF11660	Protein of unknown function (DUF3262)
PF11662	Protein of unknown function (DUF3263)
PF11665	Protein of unknown function (DUF3265)
PF11666	Protein of unknown function (DUF2933)
PF11672	zinc-finger-containing domain
PF11676	Protein of unknown function (DUF3272)
PF11679	Protein of unknown function (DUF3275)
PF11683	Protein of unknown function (DUF3278)
PF11684	Protein of unknown function (DUF2380)
PF11694	Protein of unknown function (DUF3290)
PF11695	Domain of unknown function (DUF3291)
PF11698	V-ATPase subunit H
PF11700	Vacuole effluxer Atg22 like
PF11706	CGNR zinc finger
PF11716	Mycothiol maleylpyruvate isomerase N-terminal domain
PF11722	CCCH zinc finger in TRM13 protein
PF11726	Inovirus Gp2
PF11734	TilS substrate C-terminal domain
PF11736	Protein of unknown function (DUF3299)
PF11737	Protein of unknown function (DUF3300)
PF11738	Protein of unknown function (DUF3298)
PF11741	AMIN domain
PF11746	Protein of unknown function (DUF3303)
PF11747	Killing trait
PF11752	Protein of unknown function (DUF3309)
PF11755	Protein of unknown function (DUF3311)
PF11762	L-arabinose isomerase C-terminal domain
PF11765	Hyphally regulated cell wall protein N-terminal
PF11769	Protein of unknown function (DUF3313)
PF11774	Lsr2
PF11776	Nickel/cobalt transporter regulator
PF11783	Cytochrome c bacterial
PF11790	Glycosyl hydrolase catalytic core
PF11791	Aconitate B N-terminal domain
PF11794	4-hydroxyphenylacetate 3-hydroxylase N terminal
PF11798	IMS family HHH motif
PF11799	impB/mucB/samB family C-terminal domain
PF11803	UDP-glucuronate decarboxylase N-terminal
PF11804	Protein of unknown function (DUF3325)
PF11806	Domain of unknown function (DUF3327)
PF11808	Domain of unknown function (DUF3329)
PF11812	Domain of unknown function (DUF3333)
PF11815	Domain of unknown function (DUF3336)
PF11821	Protein of unknown function (DUF3341)
PF11829	Protein of unknown function (DUF3349)
PF11836	Phage tail tube protein, GTA-gp10
PF11837	Domain of unknown function (DUF3357)
PF11844	Domain of unknown function (DUF3364)
PF11845	Protein of unknown function (DUF3365)
PF11846	Virulence factor membrane-bound polymerase, C-terminal
PF11847	Domain of unknown function (DUF3367)
PF11852	Domain of unknown function (DUF3372)
PF11854	Putative outer membrane beta-barrel porin, MtrB/PioB
PF11855	Protein of unknown function (DUF3375)
PF11856	Protein of unknown function (DUF3376)
PF11857	Domain of unknown function (DUF3377)
PF11862	Domain of unknown function (DUF3382)
PF11871	Domain of unknown function (DUF3391)
PF11873	Domain of unknown function (DUF3393)
PF11883	Domain of unknown function (DUF3403)
PF11887	Cholesterol uptake porter CUP1 of Mce4, putative
PF11889	Domain of unknown function (DUF3409)
PF11890	Domain of unknown function (DUF3410)
PF11893	Domain of unknown function (DUF3413)
PF11896	Domain of unknown function (DUF3416)
PF11897	Protein of unknown function (DUF3417)
PF11898	Domain of unknown function (DUF3418)
PF11902	Protein of unknown function (DUF3422)
PF11903	ParD-like antitoxin of type II bacterial toxin-antitoxin system
PF11906	Protein of unknown function (DUF3426)
PF11907	Domain of unknown function (DUF3427)
PF11909	NADH-quinone oxidoreductase cyanobacterial subunit N
PF11910	Cyanobacterial and plant NDH-1 subunit O
PF11920	Protein of unknown function (DUF3438)
PF11922	Domain of unknown function (DUF3440)
PF11924	Inverse autotransporter, beta-domain
PF11925	Protein of unknown function (DUF3443)
PF11927	Protein of unknown function (DUF3445)
PF11932	Protein of unknown function (DUF3450)
PF11941	Domain of unknown function (DUF3459)
PF11944	Protein of unknown function (DUF3461)
PF11946	Domain of unknown function (DUF3463)
PF11949	Protein of unknown function (DUF3466)
PF11953	Domain of unknown function (DUF3470)
PF11954	Domain of unknown function (DUF3471)
PF11959	Domain of unknown function (DUF3473)
PF11960	Domain of unknown function (DUF3474)
PF11964	SpoIIAA-like
PF11965	Domain of unknown function (DUF3479)
PF11968	25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2
PF11973	NQRA C-terminal domain
PF11974	Alpha-2-macroglobulin MG1 domain
PF11975	Family 4 glycosyl hydrolase C-terminal domain
PF11981	Domain of unknown function (DUF3482)
PF11984	Protein of unknown function (DUF3485)
PF11990	Protein of unknown function (DUF3487)
PF11991	Tryptophan dimethylallyltransferase
PF11994	Protein of unknown function (DUF3489)
PF11997	Domain of unknown function (DUF3492)
PF11998	Protein of unknown function (DUF3493)
PF12000	Gkycosyl transferase family 4 group
PF12002	MgsA AAA+ ATPase C terminal
PF12005	Protein of unknown function (DUF3499)
PF12006	Protein of unknown function (DUF3500)
PF12029	Domain of unknown function (DUF3516)
PF12034	Domain of unknown function (DUF3520)
PF12048	Protein of unknown function (DUF3530)
PF12062	heparan sulfate-N-deacetylase
PF12063	Domain of unknown function (DUF3543)
PF12071	Protein of unknown function (DUF3551)
PF12072	Domain of unknown function (DUF3552)
PF12077	Transmembrane protein of unknown function (DUF3556)
PF12079	Protein of unknown function (DUF3558)
PF12083	Domain of unknown function (DUF3560)
PF12084	Protein of unknown function (DUF3561)
PF12087	Protein of unknown function (DUF3564)
PF12091	Protein of unknown function (DUF3567)
PF12092	Protein of unknown function (DUF3568)
PF12095	Protein CHLORORESPIRATORY REDUCTION 7
PF12097	Protein of unknown function (DUF3573)
PF12101	Protein of unknown function (DUF3577)
PF12102	Domain of unknown function (DUF3578)
PF12122	Cytoplasmic N-terminal domain of rhomboid serine protease
PF12123	N-acetylmuramoyl-l-alanine amidase
PF12124	Coronavirus polyprotein cleavage domain
PF12128	Protein of unknown function (DUF3584)
PF12131	Protein of unknown function (DUF3586)
PF12139	Adenosine-5'-phosphosulfate reductase beta subunit
PF12142	Polyphenol oxidase middle domain
PF12143	Protein of unknown function (DUF_B2219)
PF12147	Putative methyltransferase
PF12161	HsdM N-terminal domain
PF12179	I-kappa-kinase-beta NEMO binding domain
PF12200	Domain of unknown function (DUF3597)
PF12202	Oxidative-stress-responsive kinase 1 C-terminal domain
PF12225	Methylene-tetrahydrofolate reductase C terminal
PF12227	Protein of unknown function (DUF3603)
PF12241	Trans-2-enoyl-CoA reductase catalytic region
PF12242	NAD(P)H binding domain of trans-2-enoyl-CoA reductase
PF12244	Protein of unknown function (DUF3606)
PF12249	Arabinofuranosyltransferase A C terminal
PF12250	Arabinofuranosyltransferase N terminal
PF12252	Dot/Icm substrate protein
PF12255	Insecticide toxin TcdB middle/C-terminal region
PF12256	Insecticide toxin TcdB middle/N-terminal region
PF12261	Thermostable hemolysin
PF12270	Cytochrome c oxidase subunit IV
PF12277	Protein of unknown function (DUF3618)
PF12281	Nucleotidyltransferase
PF12285	Protein of unknown function (DUF3621)
PF12291	Protein of unknown function (DUF3623)
PF12293	Putative outer membrane core complex of type IVb secretion
PF12318	Membrane bound FAD containing D-sorbitol dehydrogenase
PF12320	Type 5 capsule protein repressor C-terminal domain
PF12324	Helix-turn-helix domain of alkylmercury lyase
PF12343	Cold shock protein DEAD box A
PF12349	Sterol-sensing domain of SREBP cleavage-activation
PF12365	Protein of unknown function (DUF3649)
PF12367	Pyruvate ferredoxin oxidoreductase beta subunit C terminal
PF12368	Rhodanase C-terminal
PF12387	Pestivirus NS2 peptidase
PF12390	Selenocysteine synthase N terminal
PF12395	Protein of unknown function
PF12398	Receptor serine/threonine kinase
PF12404	Peptidase
PF12409	P5-type ATPase cation transporter
PF12418	Acyl-CoA dehydrogenase N terminal
PF12424	Plasma membrane calcium transporter ATPase C terminal
PF12437	Glutamine synthetase type III N terminal
PF12464	Maltose acetyltransferase
PF12467	Cucumber mosaic virus 1a protein family
PF12474	Polo kinase kinase
PF12484	Polymorphic PE/PPE proteins C terminal
PF12502	Protein of unknown function (DUF3710)
PF12503	Cucumber mosaic virus 1a protein C terminal
PF12529	Xylosyltransferase C terminal
PF12535	Hydrolase of X-linked nucleoside diphosphate N terminal
PF12536	Patatin phospholipase
PF12544	Lysine-2,3-aminomutase
PF12549	Tyrosine hydroxylase N terminal
PF12555	Thiamine pyrophosphokinase C terminal
PF12558	ATP-binding cassette cobalt transporter
PF12566	Protein of unknown function (DUF3748)
PF12567	Leukocyte receptor CD45
PF12581	Protein of unknown function (DUF3756)
PF12590	Acyl-ATP thioesterase
PF12592	Protein of unknown function (DUF3763)
PF12601	Rubivirus non-structural protein
PF12602	Fertility inhibition protein N terminal
PF12605	Casein kinase 1 gamma C terminal
PF12607	Protein of unknown function (DUF3772)
PF12615	F sex factor protein N terminal
PF12616	Protein of unknown function (DUF3775)
PF12689	Acid Phosphatase
PF12740	Chlorophyllase enzyme
PF12899	Alkaline and neutral invertase
PF12905	Endo-alpha-N-acetylgalactosaminidase
PF12919	TcdA/TcdB catalytic glycosyltransferase domain
PF13145	PPIC-type PPIASE domain
PF13199	Glycosyl hydrolase family 66
PF13241	Putative NAD(P)-binding
PF13243	Squalene-hopene cyclase C-terminal domain
PF13249	Squalene-hopene cyclase N-terminal domain
PF13292	1-deoxy-D-xylulose-5-phosphate synthase
PF13302	Acetyltransferase (GNAT) domain
PF13303	Phosphotransferase system, EIIC
PF13336	Acetyl-CoA hydrolase/transferase C-terminal domain
PF13367	Protease prsW family
PF13378	Enolase C-terminal domain-like
PF13434	L-lysine 6-monooxygenase (NADPH-requiring)
PF13506	Glycosyl transferase family 21
PF13508	Acetyltransferase (GNAT) domain
PF13618	Gluconate 2-dehydrogenase subunit 3
PF13631	Cytochrome b(N-terminal)/b6/petB
PF13640	2OG-Fe(II) oxygenase superfamily
PF13673	Acetyltransferase (GNAT) domain
PF13714	Phosphoenolpyruvate phosphomutase
PF13718	GNAT acetyltransferase 2
PF13733	N-terminal region of glycosyl transferase group 7
PF13816	Haem-containing dehydratase
PF13822	Acyl-CoA carboxylase epsilon subunit
PF13892	DNA-binding domain
PF14010	Phosphoenolpyruvate carboxylase
PF14099	Polysaccharide lyase
PF14467	Domain of unknown function (DUF4426)
PF14489	QueF-like protein
PF14521	Lysine-specific metallo-endopeptidase
PF14552	Tautomerase enzyme
PF14569	Zinc-binding RING-finger
PF14572	Phosphoribosyl synthetase-associated domain
PF14583	Oligogalacturonate lyase
PF14651	Lipocalin / cytosolic fatty-acid binding protein family
PF14681	Uracil phosphoribosyltransferase
PF14696	Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal
PF14699	N-terminal domain from the human glycogen debranching enzyme
PF14701	Glycogen debranching enzyme, glucanotransferase domain
PF14702	Central domain of human glycogen debranching enzyme
PF14718	Soluble lytic murein transglycosylase L domain
PF14724	Mitochondrial-associated sphingomyelin phosphodiesterase
PF14736	Protein N-terminal asparagine amidohydrolase
PF14823	Sirohaem biosynthesis protein C-terminal
PF14824	Sirohaem biosynthesis protein central
PF14829	Glycerol-3-phosphate acyltransferase N-terminal
PF14850	DNA-binding domain of Proline dehydrogenase
PF15291	Dermcidin, antibiotic peptide
PF15461	Beta-carotene 15,15'-dioxygenase
PF15979	Glycosyl hydrolase family 115
PF16141	Putative glycoside hydrolase Family 18, chitinase_18
PF16670	Phosphoinositide phospholipase C, Ca2+-dependent
PF16683	Transglutaminase elicitor
PF16861	Carbamoyltransferase C-terminus
PF16876	Lipin/Ned1/Smp2 multi-domain protein middle domain
PF16923	Glycosyl hydrolase family 63 N-terminal domain
PF17048	Neutral/alkaline non-lysosomal ceramidase, C-terminal
TIGR00005	pseudouridine synthase, RluA family
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR00007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
TIGR00011	Cys-tRNA(Pro) deacylase
TIGR00013	4-oxalocrotonate tautomerase family enzyme
TIGR00014	arsenate reductase (glutaredoxin)
TIGR00016	acetate kinase
TIGR00017	cytidylate kinase
TIGR00018	pantoate--beta-alanine ligase
TIGR00021	ribose 5-phosphate isomerase A
TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase
TIGR00024	putative phosphoesterase
TIGR00027	methyltransferase, TIGR00027 family
TIGR00031	UDP-galactopyranose mutase
TIGR00032	argininosuccinate synthase
TIGR00033	chorismate synthase
TIGR00034	3-deoxy-7-phosphoheptulonate synthase
TIGR00035	aspartate racemase
TIGR00036	4-hydroxy-tetrahydrodipicolinate reductase
TIGR00040	phosphodiesterase, MJ0936 family
TIGR00041	dTMP kinase
TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
TIGR00045	glycerate kinase
TIGR00046	RNA methyltransferase, RsmE family
TIGR00048	23S rRNA (adenine(2503)-C(2))-methyltransferase
TIGR00050	RNA methyltransferase, TrmH family, group 1
TIGR00052	nudix-type nucleoside diphosphatase, YffH/AdpP family
TIGR00054	RIP metalloprotease RseP
TIGR00055	di-trans,poly-cis-decaprenylcistransferase
TIGR00063	GTP cyclohydrolase I
TIGR00066	gamma-glutamyltransferase
TIGR00067	glutamate racemase
TIGR00068	lactoylglutathione lyase
TIGR00069	histidinol dehydrogenase
TIGR00070	ATP phosphoribosyltransferase
TIGR00071	tRNA pseudouridine(38-40) synthase
TIGR00077	signal peptidase II
TIGR00078	nicotinate-nucleotide diphosphorylase (carboxylating)
TIGR00079	peptide deformylase
TIGR00080	protein-L-isoaspartate O-methyltransferase
TIGR00081	phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR00083	riboflavin biosynthesis protein RibF
TIGR00087	5'/3'-nucleotidase SurE
TIGR00088	tRNA (guanine(37)-N(1))-methyltransferase
TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family
TIGR00091	tRNA (guanine-N(7)-)-methyltransferase
TIGR00093	pseudouridine synthase
TIGR00094	tRNA pseudouridine synthase, TruD family
TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
TIGR00104	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA
TIGR00107	purine nucleoside phosphorylase
TIGR00109	ferrochelatase
TIGR00110	dihydroxy-acid dehydratase
TIGR00112	pyrroline-5-carboxylate reductase
TIGR00113	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
TIGR00114	6,7-dimethyl-8-ribityllumazine synthase
TIGR00115	trigger factor
TIGR00117	aconitate hydratase 2
TIGR00118	acetolactate synthase, large subunit, biosynthetic type
TIGR00119	acetolactate synthase, small subunit
TIGR00120	glutamate N-acetyltransferase/amino-acid acetyltransferase
TIGR00121	biotin--[acetyl-CoA-carboxylase] ligase
TIGR00124	[citrate (pro-3S)-lyase] ligase
TIGR00126	deoxyribose-phosphate aldolase
TIGR00127	isocitrate dehydrogenase, NADP-dependent
TIGR00128	malonyl CoA-acyl carrier protein transacylase
TIGR00131	galactokinase
TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit
TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit
TIGR00134	glutamyl-tRNA(Gln) amidotransferase, subunit E
TIGR00135	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit
TIGR00137	tRNA:m(5)U-54 methyltransferase
TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
TIGR00139	homoaconitase
TIGR00140	hydrogenase expression/formation protein
TIGR00142	hydrogenase maturation peptidase HycI
TIGR00147	lipid kinase, YegS/Rv2252/BmrU family
TIGR00148	decarboxylase, UbiD family
TIGR00151	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
TIGR00152	dephospho-CoA kinase
TIGR00154	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
TIGR00157	ribosome small subunit-dependent GTPase A
TIGR00160	methylglyoxal synthase
TIGR00163	phosphatidylserine decarboxylase
TIGR00169	3-isopropylmalate dehydrogenase
TIGR00170	3-isopropylmalate dehydratase, large subunit
TIGR00171	3-isopropylmalate dehydratase, small subunit
TIGR00173	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
TIGR00174	tRNA dimethylallyltransferase
TIGR00175	isocitrate dehydrogenase, NAD-dependent
TIGR00178	isocitrate dehydrogenase, NADP-dependent
TIGR00179	UDP-N-acetylenolpyruvoylglucosamine reductase
TIGR00181	oligoendopeptidase F
TIGR00183	isocitrate dehydrogenase, NADP-dependent
TIGR00184	adenylosuccinate synthase
TIGR00185	tRNA (cytidine(34)-2'-O)-methyltransferase
TIGR00187	riboflavin synthase, alpha subunit
TIGR00188	ribonuclease P protein component
TIGR00189	acyl-CoA thioesterase II
TIGR00190	phosphomethylpyrimidine synthase
TIGR00191	homoserine kinase
TIGR00192	urease, beta subunit
TIGR00193	urease, gamma subunit
TIGR00194	excinuclease ABC subunit C
TIGR00195	exodeoxyribonuclease III
TIGR00198	catalase/peroxidase HPI
TIGR00199	amidohydrolase, PncC family
TIGR00203	cytochrome d ubiquinol oxidase, subunit II
TIGR00204	1-deoxy-D-xylulose-5-phosphate synthase
TIGR00209	galactose-1-phosphate uridylyltransferase
TIGR00211	glycine--tRNA ligase, beta subunit
TIGR00212	hydroxymethylbilane synthase
TIGR00214	lipoyl(octanoyl) transferase
TIGR00215	lipid-A-disaccharide synthase
TIGR00216	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
TIGR00217	4-alpha-glucanotransferase
TIGR00218	mannose-6-phosphate isomerase, class I
TIGR00221	N-acetylglucosamine-6-phosphate deacetylase
TIGR00222	3-methyl-2-oxobutanoate hydroxymethyltransferase
TIGR00223	aspartate 1-decarboxylase
TIGR00224	phosphoenolpyruvate carboxykinase (ATP)
TIGR00225	C-terminal processing peptidase
TIGR00227	riboflavin-specific deaminase C-terminal domain
TIGR00228	crossover junction endodeoxyribonuclease RuvC
TIGR00232	transketolase
TIGR00233	tryptophan--tRNA ligase
TIGR00234	tyrosine--tRNA ligase
TIGR00235	uridine kinase
TIGR00236	UDP-N-acetylglucosamine 2-epimerase
TIGR00237	exodeoxyribonuclease VII, large subunit
TIGR00239	oxoglutarate dehydrogenase (succinyl-transferring), E1 component
TIGR00240	aspartate carbamoyltransferase, regulatory subunit
TIGR00243	1-deoxy-D-xylulose 5-phosphate reductoisomerase
TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH
TIGR00249	phosphohistidine phosphatase SixA
TIGR00256	D-tyrosyl-tRNA(Tyr) deacylase
TIGR00260	threonine synthase
TIGR00262	tryptophan synthase, alpha subunit
TIGR00263	tryptophan synthase, beta subunit
TIGR00274	N-acetylmuramic acid 6-phosphate etherase
TIGR00276	epoxyqueuosine reductase
TIGR00283	peptidyl-tRNA hydrolase
TIGR00286	arginine decarboxylase, pyruvoyl-dependent
TIGR00287	CRISPR-associated endonuclease Cas1
TIGR00294	GTP cyclohydrolase
TIGR00298	2-phosphosulfolactate phosphatase
TIGR00306	phosphoglycerate mutase (2,3-diphosphoglycerate-independent), archaeal form
TIGR00308	N2,N2-dimethylguanosine tRNA methyltransferase
TIGR00309	V-type ATPase, D subunit
TIGR00313	cobyric acid synthase CobQ
TIGR00314	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit
TIGR00315	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit
TIGR00316	CO dehydrogenase/CO-methylating acetyl-CoA synthase complex, beta subunit
TIGR00317	cobalamin 5'-phosphate synthase
TIGR00321	deoxyhypusine synthase
TIGR00324	tRNA-intron lyase
TIGR00325	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
TIGR00326	riboflavin biosynthesis protein RibD
TIGR00330	fructose-1,6-bisphosphatase, class II
TIGR00334	ribonuclease M5
TIGR00336	orotate phosphoribosyltransferase
TIGR00337	CTP synthase
TIGR00338	phosphoserine phosphatase SerB
TIGR00339	sulfate adenylyltransferase
TIGR00342	tRNA sulfurtransferase ThiI
TIGR00344	alanine--tRNA ligase
TIGR00345	transport-energizing ATPase, TRC40/GET3/ArsA family
TIGR00347	dethiobiotin synthase
TIGR00348	type I site-specific deoxyribonuclease, HsdR family
TIGR00351	respiratory nitrate reductase, gamma subunit
TIGR00355	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
TIGR00357	methionine-R-sulfoxide reductase
TIGR00358	VacB and RNase II family 3'-5' exoribonucleases
TIGR00359	PTS system, cellobiose-specific IIC component
TIGR00379	cobyrinic acid a,c-diamide synthase
TIGR00380	cobalamin biosynthesis protein CobD
